schema,table_name,trigger_name,timing,event,body
storage,buckets,enforce_bucket_name_length_trigger,BEFORE,INSERT,EXECUTE FUNCTION storage.enforce_bucket_name_length()
storage,buckets,enforce_bucket_name_length_trigger,BEFORE,UPDATE,EXECUTE FUNCTION storage.enforce_bucket_name_length()
public,models,on_model_insert_or_update,BEFORE,INSERT,EXECUTE FUNCTION update_profile_completeness()
public,models,on_model_insert_or_update,BEFORE,UPDATE,EXECUTE FUNCTION update_profile_completeness()
public,models,on_model_search_update,BEFORE,UPDATE,EXECUTE FUNCTION update_model_fts_vector()
public,models,on_model_search_update,BEFORE,INSERT,EXECUTE FUNCTION update_model_fts_vector()
storage,objects,objects_delete_delete_prefix,AFTER,DELETE,EXECUTE FUNCTION storage.delete_prefix_hierarchy_trigger()
storage,objects,objects_insert_create_prefix,BEFORE,INSERT,EXECUTE FUNCTION storage.objects_insert_prefix_trigger()
storage,objects,objects_update_create_prefix,BEFORE,UPDATE,EXECUTE FUNCTION storage.objects_update_prefix_trigger()
storage,objects,update_objects_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION storage.update_updated_at_column()
storage,prefixes,prefixes_create_hierarchy,BEFORE,INSERT,EXECUTE FUNCTION storage.prefixes_insert_trigger()
storage,prefixes,prefixes_delete_hierarchy,AFTER,DELETE,EXECUTE FUNCTION storage.delete_prefix_hierarchy_trigger()
realtime,subscription,tr_check_filters,BEFORE,UPDATE,EXECUTE FUNCTION realtime.subscription_check_filters()
realtime,subscription,tr_check_filters,BEFORE,INSERT,EXECUTE FUNCTION realtime.subscription_check_filters()
