table_name,column_name,data_type,is_nullable,column_default
project_schedule,id,uuid,NO,gen_random_uuid()
project_schedule,project_id,uuid,NO,null
project_schedule,title,text,NO,null
project_schedule,start_time,timestamp with time zone,NO,null
project_schedule,end_time,timestamp with time zone,NO,null
project_schedule,location,text,YES,null
project_schedule,is_call_time,boolean,YES,false
project_schedule,created_at,timestamp with time zone,YES,now()
projects,id,uuid,NO,gen_random_uuid()
projects,user_id,uuid,YES,null
projects,created_at,timestamp with time zone,NO,now()
projects,project_name,text,NO,null
projects,client_name,text,YES,null
projects,start_date,date,YES,null
projects,end_date,date,YES,null
projects,status,text,NO,'draft'::text
projects,public_id,text,NO,SUBSTRING(md5((random())::text) FROM 1 FOR 8)
projects,password,text,YES,null
projects,revenue,numeric,YES,0
projects,default_model_fee,numeric,YES,0
projects,default_fee_type,text,YES,'fixed'::text
projects,application_deadline,timestamp with time zone,YES,null
projects,schedule,jsonb,YES,null
projects,currency,text,YES,'GTQ'::text
projects,client_id,uuid,YES,null
projects,brand_id,uuid,YES,null
projects,project_types,ARRAY,YES,'{}'::text[]
projects_models,project_id,uuid,NO,null
projects_models,model_id,uuid,NO,null
projects_models,client_selection,text,NO,'pending'::text
projects_models,client_selection_date,timestamp with time zone,YES,null
projects_models,internal_status,text,YES,'shortlisted'::text
projects_models,agreed_fee,numeric,YES,0
projects_models,fee_type,text,YES,'fixed'::text
projects_models,currency,text,YES,'GTQ'::text
projects_models,notes,text,YES,null
